time,P,G(i),H_sun,T2m,WS10m,Int
20230108:1910,0,0,0,11.12,4.28,0
20230108:2010,0,0,0,11.18,4.97,0
20230108:2110,0,0,0,11.14,5.17,0
20230108:2210,0,0,0,11.35,5.24,0
20230108:2310,0,0,0,11.33,5.45,0
20230109:0010,0,0,0,11.65,6,0
20230109:0110,0,0,0,11.95,6.28,0
20230109:0210,0,0,0,12.13,6.55,0
20230109:0310,0,0,0,12.13,6.69,0
20230109:0410,0,0,0,11.71,7.03,0
20230109:0510,0,0,0,11.81,6.97,0
20230109:0610,0,0,0,11.79,7.52,0
20230109:0710,37800,30.28,5.09,12,8.14,0
20230109:0810,198725,108.35,12.94,12.28,7.31,0
20230109:0910,82125,53.87,19.03,12.46,6.76,0
20230109:1010,90400,58.01,22.85,12.65,7.79,0
20230109:1110,51450,38.12,23.96,12.53,6.97,0
20230109:1210,93800,59.67,22.25,12.47,6.76,0
20230109:1310,65750,45.58,17.9,12.53,6.34,0
20230109:1410,37700,30.66,11.39,12.41,5.66,0
20230109:1510,0,4.14,3.23,12.46,5.1,0
20230109:1610,0,0,0,12.3,4.41,0
20230109:1710,0,0,0,12.08,3.45,0
20230109:1810,0,0,0,11.8,3.1,0
20230109:1910,0,0,0,11.56,2.83,0
20230109:2010,0,0,0,10.76,3.59,0
20230109:2110,0,0,0,10.07,3.72,0
20230109:2210,0,0,0,9.01,3.45,0
20230109:2310,0,0,0,8.43,2.83,0
20230110:0010,0,0,0,8.07,3.17,0
20230110:0110,0,0,0,7.59,3.86,0
20230110:0210,0,0,0,7.23,4.76,0
20230110:0310,0,0,0,7.25,5.03,0
20230110:0410,0,0,0,7.13,4.69,0
20230110:0510,0,0,0,7.23,4.48,0
20230110:0610,0,0,0,7.3,4.83,0
20230110:0710,0,4.14,5.15,7.01,5.03,0
20230110:0810,29700,25.69,13.02,7.45,5.1,0
20230110:0910,34025,28.18,19.14,8.22,5.24,0
20230110:1010,76975,50.55,22.97,8.67,5.31,0
20230110:1110,234450,124.35,24.11,9.18,5.93,0
20230110:1210,443875,216.99,22.41,9.58,6.14,0
20230110:1310,127700,75.42,18.07,9.97,6.28,0
20230110:1410,324200,162.82,11.56,10.03,5.93,0
20230110:1510,6925,11.6,3.4,9.54,6.48,0
20230110:1610,0,0,0,8.91,6.21,0
20230110:1710,0,0,0,8.49,5.79,0
20230110:1810,0,0,0,8.2,5.59,0
20230110:1910,0,0,0,8.64,6.14,0
20230110:2010,0,0,0,8.28,6.34,0
20230110:2110,0,0,0,7.91,6.14,0
20230110:2210,0,0,0,7.54,5.86,0
20230110:2310,0,0,0,7.23,5.59,0
20230111:0010,0,0,0,6.88,5.45,0
20230111:0110,0,0,0,6.55,5.24,0
20230111:0210,0,0,0,6.28,5.03,0
20230111:0310,0,0,0,5.99,4.9,0
20230111:0410,0,0,0,5.63,4.55,0
20230111:0510,0,0,0,5.33,4.21,0
20230111:0610,0,0,0,4.92,3.86,0
20230111:0710,1015050,461.04,5.21,5.02,3.79,0
20230111:0810,1657750,772.26,13.11,5.51,3.38,0
20230111:0910,1912050,906.05,19.25,6.93,3.79,0
20230111:1010,1967850,939.27,23.11,8.13,4.07,0
20230111:1110,2059925,990.44,24.27,9.17,4.34,0
20230111:1210,1995875,957.36,22.58,9.95,4.62,0
20230111:1310,1848175,882.61,18.25,10.44,4.48,0
20230111:1410,1618075,768.49,11.74,10.44,3.72,0
20230111:1510,767275,357.9,3.58,9.68,3.1,0
20230111:1610,0,0,0,8.52,3.03,0
20230111:1710,0,0,0,7.47,2.76,0
20230111:1810,0,0,0,6.4,2.55,0
20230111:1910,0,0,0,6.03,2.41,0
20230111:2010,0,0,0,5.28,2.21,0
20230111:2110,0,0,0,4.63,2.07,0
20230111:2210,0,0,0,4.17,2,0
20230111:2310,0,0,0,4.13,2,0
20230112:0010,0,0,0,4.47,2,0
20230112:0110,0,0,0,4.79,1.93,0
20230112:0210,0,0,0,5.01,1.79,0
20230112:0310,0,0,0,5.14,1.72,0
20230112:0410,0,0,0,5.3,1.86,0
20230112:0510,0,0,0,5.37,2.21,0
20230112:0610,0,0,0,5.17,2.55,0
20230112:0710,125975,72,5.28,5.64,2.97,0
20230112:0810,1632500,764.61,13.2,6.3,3.1,0
20230112:0910,1844600,874.75,19.36,7.79,3.79,0
20230112:1010,1360925,639.59,23.25,9.3,3.79,0
20230112:1110,2003750,976.83,24.43,10.57,3.52,0
20230112:1210,1911875,935.92,22.75,11.43,3.1,0
20230112:1310,1110500,529.06,18.43,11.97,2.69,0
20230112:1410,1488825,719.83,11.92,12.02,2.21,0
20230112:1510,613350,291.97,3.76,11.27,2.21,0
20230112:1610,0,0,0,9.93,2.41,0
20230112:1710,0,0,0,8.33,2.41,0
20230112:1810,0,0,0,7.17,2.34,0
20230112:1910,0,0,0,7.23,2.76,0
20230112:2010,0,0,0,6.39,2.48,0
20230112:2110,0,0,0,5.66,2.34,0
20230112:2210,0,0,0,5.17,2.34,0
20230112:2310,0,0,0,4.8,2.34,0
20230113:0010,0,0,0,4.44,2.14,0
20230113:0110,0,0,0,4.06,2,0
20230113:0210,0,0,0,3.76,1.86,0
20230113:0310,0,0,0,3.51,1.86,0
20230113:0410,0,0,0,3.33,1.79,0
20230113:0510,0,0,0,3.28,1.72,0
20230113:0610,0,0,0,3.52,1.79,0
20230113:0710,178425,95,5.36,3.86,1.66,0
